"CPC21code","CPC21partial","ISIC4code","ISIC4partial"
"01111",0,"0111",1
"01112",0,"0111",1
"01121",0,"0111",1
"01122",0,"0111",1
"01131",0,"0112",1
"01132",0,"0112",1
"01141",0,"0111",1
"01142",0,"0111",1
"01151",0,"0111",1
"01152",0,"0111",1
"01161",0,"0111",1
"01162",0,"0111",1
"01171",0,"0111",1
"01172",0,"0111",1
"01181",0,"0111",1
"01182",0,"0111",1
"01191",0,"0111",1
"01192",0,"0111",1
"01193",0,"0111",1
"01194",0,"0111",1
"01195",0,"0111",1
"01199",0,"0111",1
"01211",0,"0113",1
"01212",0,"0113",1
"01213",0,"0113",1
"01214",0,"0113",1
"01215",0,"0113",1
"01216",0,"0113",1
"01219",0,"0113",1
"01221",0,"0113",1
"01229",0,"0113",1
"01231",0,"0128",1
"01232",0,"0113",1
"01233",0,"0113",1
"01234",0,"0113",1
"01235",0,"0113",1
"01239",0,"0113",1
"01241",0,"0111",1
"01242",0,"0111",1
"01243",0,"0111",1
"01249",0,"0111",1
"01251",0,"0113",1
"01252",0,"0113",1
"01253",0,"0113",1
"01254",0,"0113",1
"01259",0,"0113",1
"01260",0,"0113",1
"01270",1,"0113",1
"01270",1,"0230",1
"01290",0,"0113",1
"01311",0,"0122",1
"01312",0,"0122",1
"01313",0,"0122",1
"01314",0,"0122",1
"01315",0,"0122",1
"01316",0,"0122",1
"01317",0,"0122",1
"01318",0,"0122",1
"01319",0,"0122",1
"01321",0,"0123",1
"01322",0,"0123",1
"01323",0,"0123",1
"01324",0,"0123",1
"01329",0,"0123",1
"01330",0,"0121",0
"01341",0,"0124",1
"01342",0,"0124",1
"01343",0,"0124",1
"01344",0,"0124",1
"01345",0,"0124",1
"01346",0,"0124",1
"01349",0,"0124",1
"01351",0,"0125",1
"01352",0,"0125",1
"01353",0,"0125",1
"01354",0,"0125",1
"01355",1,"0125",1
"01355",1,"0230",1
"01356",0,"0125",1
"01359",0,"0125",1
"01360",0,"0125",1
"01371",0,"0125",1
"01372",0,"0125",1
"01373",0,"0125",1
"01374",0,"0125",1
"01375",0,"0125",1
"01376",0,"0125",1
"01377",0,"0125",1
"01379",0,"0125",1
"01411",0,"0111",1
"01412",0,"0111",1
"01421",0,"0111",1
"01422",0,"0111",1
"01431",0,"0111",1
"01432",0,"0111",1
"01441",0,"0111",1
"01442",0,"0111",1
"01443",0,"0111",1
"01444",0,"0111",1
"01445",0,"0111",1
"01446",0,"0111",1
"01447",0,"0111",1
"01448",0,"0111",1
"01449",0,"0111",1
"01450",0,"0126",1
"01460",0,"0126",1
"01491",0,"0126",1
"01492",0,"0126",1
"01499",0,"0126",1
"01510",0,"0113",1
"01520",0,"0113",1
"01530",0,"0113",1
"01540",0,"0113",1
"01550",0,"0113",1
"01591",0,"0113",1
"01599",0,"0113",1
"01610",0,"0127",1
"01620",0,"0127",1
"01630",0,"0127",1
"01640",0,"0127",1
"01651",0,"0128",1
"01652",0,"0128",1
"01653",0,"0128",1
"01654",0,"0128",1
"01655",0,"0128",1
"01656",0,"0128",1
"01657",0,"0128",1
"01658",0,"0128",1
"01659",0,"0128",1
"01691",0,"0128",1
"01699",0,"0128",1
"01701",0,"0111",1
"01702",0,"0111",1
"01703",0,"0111",1
"01704",0,"0111",1
"01705",0,"0111",1
"01706",0,"0111",1
"01707",0,"0111",1
"01708",0,"0111",1
"01709",0,"0111",1
"01801",0,"0113",1
"01802",0,"0114",0
"01803",0,"0113",1
"01809",1,"0125",1
"01809",1,"0129",1
"01911",0,"0119",1
"01912",0,"0119",1
"01913",0,"0111",1
"01919",0,"0119",1
"01921",0,"0116",1
"01922",0,"0116",1
"01929",0,"0116",1
"01930",0,"0128",1
"01940",0,"0119",1
"01950",1,"0129",1
"01950",1,"0230",1
"01961",0,"0130",0
"01962",0,"0119",1
"01963",0,"0119",1
"01970",0,"0115",0
"01990",1,"0119",1
"01990",1,"0129",1
"02111",0,"0141",1
"02112",0,"0141",1
"02119",0,"0141",1
"02121",0,"0143",1
"02122",0,"0144",1
"02123",0,"0144",1
"02129",1,"0149",1
"02129",1,"0170",1
"02131",0,"0142",1
"02132",0,"0142",1
"02133",0,"0142",1
"02140",0,"0145",1
"02151",0,"0146",1
"02152",0,"0146",1
"02153",0,"0146",1
"02154",1,"0146",1
"02154",1,"0170",1
"02155",0,"0146",1
"02191",1,"0149",1
"02191",1,"0170",1
"02192",1,"0149",1
"02192",1,"0170",1
"02193",0,"0149",1
"02194",1,"0149",1
"02194",1,"0170",1
"02195",0,"0149",1
"02196",0,"0149",1
"02199",1,"0149",1
"02199",1,"0170",1
"02199",1,"0322",1
"02211",0,"0141",1
"02212",0,"0141",1
"02291",0,"0144",1
"02292",0,"0144",1
"02293",0,"0143",1
"02299",1,"0142",1
"02299",1,"0149",1
"02311",0,"0146",1
"02312",0,"0146",1
"02321",1,"0146",1
"02321",1,"0149",1
"02322",1,"0146",1
"02322",1,"0149",1
"02411",0,"0141",1
"02419",1,"0144",1
"02419",1,"0145",1
"02419",1,"0149",1
"02420",1,"0141",1
"02420",1,"0142",1
"02910",0,"0149",1
"02920",0,"0149",1
"02930",0,"0149",1
"02941",0,"0144",1
"02942",0,"0144",1
"02943",1,"0141",1
"02943",1,"0143",1
"02943",1,"0144",1
"02943",1,"0149",1
"02943",1,"0170",1
"02944",0,"0149",1
"02951",0,"1010",1
"02952",0,"1010",1
"02953",0,"1010",1
"02954",0,"1010",1
"02955",0,"1010",1
"02959",0,"1010",1
"02960",0,"1040",1
"03110",1,"0210",1
"03110",1,"0220",1
"03120",1,"0210",1
"03120",1,"0220",1
"03131",0,"0220",1
"03132",0,"0220",1
"03211",0,"0230",1
"03219",0,"0230",1
"03220",0,"0230",1
"03230",0,"0230",1
"03241",0,"0129",1
"03249",0,"0230",1
"03250",0,"0129",1
"04111",1,"0311",1
"04111",1,"0312",1
"04112",1,"0321",1
"04112",1,"0322",1
"04191",1,"0311",1
"04191",1,"0312",1
"04192",1,"0321",1
"04192",1,"0322",1
"04211",0,"0312",1
"04212",0,"0322",1
"04221",1,"0311",1
"04221",1,"0312",1
"04222",1,"0321",1
"04222",1,"0322",1
"04231",0,"0311",1
"04232",0,"0321",1
"04241",0,"0311",1
"04242",0,"0321",1
"04251",0,"0311",1
"04252",0,"0321",1
"04261",0,"0311",1
"04262",0,"0321",1
"04291",1,"0311",1
"04291",1,"0312",1
"04292",1,"0321",1
"04292",1,"0322",1
"04311",1,"0311",1
"04311",1,"0312",1
"04312",1,"0321",1
"04312",1,"0322",1
"04321",0,"0311",1
"04322",0,"0321",1
"04331",0,"0311",1
"04332",0,"0321",1
"04341",0,"0311",1
"04342",0,"0321",1
"04351",0,"0311",1
"04352",0,"0321",1
"04361",1,"0311",1
"04361",1,"0312",1
"04362",1,"0321",1
"04362",1,"0322",1
"04391",1,"0311",1
"04391",1,"0312",1
"04392",1,"0321",1
"04392",1,"0322",1
"04411",0,"0311",1
"04412",0,"0321",1
