Code,Description,ISIC Section,ISIC Section Heading,DSI Sector
1,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
11,Growing of non-perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
111,"Growing of cereals (except rice), leguminous crops and oil seeds",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
112,Growing of rice,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
113,"Growing of vegetables and melons, roots and tubers",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
114,Growing of sugar cane,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
115,Growing of tobacco,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
116,Growing of fibre crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
119,Growing of other non-perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
12,Growing of perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
121,Growing of grapes,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
122,Growing of tropical and subtropical fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
123,Growing of citrus fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
124,Growing of pome fruits and stone fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
125,Growing of other tree and bush fruits and nuts,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
126,Growing of oleaginous fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
127,Growing of beverage crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
128,"Growing of spices, aromatic, drug and pharmaceutical crops",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
129,Growing of other perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
13,Plant propagation,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
130,Plant propagation,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
14,Animal production,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
141,Raising of cattle and buffaloes,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
142,Raising of horses and other equines,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
143,Raising of camels and camelids,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
144,Raising of sheep and goats,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
145,Raising of swine/pigs,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
146,Raising of poultry,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
149,Raising of other animals,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
15,Mixed farming,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
150,Mixed farming,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
16,Support activities to agriculture and post-harvest crop activities,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
